,customer_id,name,age,gender,income_level,family_size,distance_to_shop(km),lifestyle,food_preferences,interest,martial_status,vehicle,email,phone
28,29,David Blair,31,male,medium,3,0.58,sedentary,non-vegetarian,celebratory_cakes,married,does_not_have_vehicle,sparksjoan@example.org,565-993-8515
29,30,Nicholas Nichols,78,male,low,7,2.99,sedentary,vegetarian,celebratory_cakes,unmarried,has_vehicle,julie36@example.com,737.728.0489
30,31,Megan Crawford,33,female,low,3,3.62,active,gluten-free,foodies,unmarried,does_not_have_vehicle,stevenguerrero@example.org,968-555-9029
31,32,Grant Lopez,22,male,medium,5,0.87,active,vegan,socializing,unmarried,has_vehicle,yevans@example.com,+1-560-612-4721x5445
32,33,Michelle Thompson,45,female,high,3,5.01,active,vegetarian,socializing,unmarried,has_vehicle,rioskayla@example.com,662-835-7796x5482
33,34,Deborah Espinoza,16,female,medium,3,1.52,active,vegan,health_and_nutrition,married,has_vehicle,amberburke@example.com,+1-893-383-9262x2001
34,35,Lucas Peters,20,female,high,5,5.91,active,non-vegetarian,gourmet_and_baking_enthusiast,unmarried,does_not_have_vehicle,garciamaurice@example.net,335-311-7170
35,36,Kathy Nicholson,41,female,medium,5,7.32,sedentary,gluten-free,health_and_nutrition,unmarried,has_vehicle,astephenson@example.org,371.711.3252x9702
36,37,Johnny Burton,31,female,high,2,0.04,active,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,hopkinswyatt@example.org,(527)506-5776x281
37,38,Gregory Burke,24,other,medium,4,0.67,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,michael94@example.com,986.366.4183x31193
38,39,Glenda Garcia,17,female,medium,9,1.42,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,melissahamilton@example.net,+1-297-867-5960x02181
39,40,Barbara Franco,34,male,high,1,4.77,active,vegetarian,foodies,unmarried,has_vehicle,brentgallagher@example.com,3726529647
40,41,Douglas Flores,15,female,high,3,2.03,active,vegan,gourmet_and_baking_enthusiast,unmarried,does_not_have_vehicle,xlewis@example.com,841-537-5498
41,42,Nicholas Lopez MD,35,male,medium,8,2.46,active,non-vegetarian,celebratory_cakes,married,has_vehicle,caroline09@example.com,(844)856-8731x700
42,43,Amanda Rodriguez,36,other,medium,6,3.47,active,gluten-free,gourmet_and_baking_enthusiast,unmarried,has_vehicle,lunatimothy@example.com,983-310-0848x194
43,44,Tiffany Howard,23,male,medium,3,3.15,active,non-vegetarian,foodies,unmarried,has_vehicle,andrewsalyssa@example.org,552-303-1264x158
44,45,Joseph Blake,18,male,high,5,1.74,sedentary,vegetarian,socializing,unmarried,has_vehicle,brookserik@example.com,563-261-2376x503
45,46,Jesus Simmons,22,female,medium,1,3.5,health_conscious,vegan,foodies,married,has_vehicle,qfernandez@example.com,+1-386-940-7738x985
46,47,Dylan Lewis,21,male,medium,4,0.07,active,vegetarian,socializing,unmarried,has_vehicle,smithjessica@example.net,001-655-976-0247
47,48,Maureen Willis,20,male,medium,2,1.98,sedentary,vegetarian,foodies,married,does_not_have_vehicle,danielgolden@example.org,(482)739-7226x574
48,49,Dr. Brian Williams,29,female,medium,5,1.25,active,vegan,celebratory_cakes,unmarried,has_vehicle,manningscott@example.net,+1-743-441-1776x661
49,50,Pedro Clark,20,male,medium,3,0.49,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,cannonbrittany@example.com,(365)278-7946x7082
50,51,James Gonzalez,35,female,low,3,0.63,active,gluten-free,foodies,unmarried,has_vehicle,njohnson@example.net,001-857-280-8327
51,52,Kendra Johnson,34,male,medium,4,0.24,sedentary,non-vegetarian,foodies,unmarried,has_vehicle,samueldalton@example.org,744-509-5143x70459
52,53,Samantha Allen,50,male,medium,3,3.32,active,non-vegetarian,socializing,married,has_vehicle,annetteriley@example.com,218.424.7481x641
53,54,Patricia Wood,38,female,low,3,1.06,active,gluten-free,socializing,married,has_vehicle,christopher91@example.org,956.965.5224x3216
54,55,Benjamin Turner,16,male,medium,4,1.93,active,vegetarian,foodies,married,has_vehicle,gsantos@example.org,(767)890-0849
55,56,Amy Jensen,20,male,high,4,0.36,active,vegetarian,foodies,unmarried,does_not_have_vehicle,qevans@example.net,266.607.8931x1415
56,57,David Bolton,30,female,high,5,3.31,active,non-vegetarian,health_and_nutrition,unmarried,has_vehicle,donaldwilliams@example.com,862.432.7900
57,58,Joshua Brown,42,male,low,4,2.65,active,vegetarian,foodies,unmarried,has_vehicle,colemanamanda@example.org,615.806.7514x317
58,59,Donald Morales,35,female,low,4,9.53,active,non-vegetarian,socializing,married,has_vehicle,saustin@example.com,973-760-7895
59,60,Angela Soto,59,female,high,6,3.07,active,vegetarian,gourmet_and_baking_enthusiast,married,does_not_have_vehicle,dicksonellen@example.net,001-730-916-4458
60,61,Harry Williams,45,male,medium,4,1.8,active,non-vegetarian,socializing,unmarried,does_not_have_vehicle,waltermedina@example.org,001-457-593-4471
61,62,Jose Crawford,36,female,high,5,2.15,active,vegan,socializing,married,has_vehicle,xmccormick@example.org,7005031446
62,63,Patrick Martin,30,male,high,3,2.05,active,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,monicaellis@example.net,(782)227-3331x936
63,64,Scott Vargas,19,female,medium,5,0.26,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,jackie79@example.org,001-346-718-1753x3487
64,65,Terri Burns,26,female,low,6,1.44,active,non-vegetarian,socializing,unmarried,has_vehicle,leemelanie@example.org,(657)521-2506
65,66,Elizabeth Pena,15,female,medium,5,9.04,health_conscious,non-vegetarian,foodies,unmarried,has_vehicle,danielsrebecca@example.org,(615)848-4175
66,67,Seth Jones,33,female,medium,5,0.95,active,vegetarian,foodies,unmarried,does_not_have_vehicle,felicia72@example.org,876-439-5307x5843
67,68,Dr. Anthony Williams,23,female,low,6,5.97,active,vegan,foodies,unmarried,has_vehicle,andersonmichael@example.com,287.537.8299
68,69,Chad Rodriguez,30,male,medium,4,1.44,active,non-vegetarian,foodies,married,has_vehicle,alvaradorichard@example.org,9635392178
69,70,Amanda Williams,18,male,high,7,0.39,health_conscious,non-vegetarian,foodies,unmarried,has_vehicle,martin36@example.com,(239)660-6967
70,71,Lindsey Davis,23,male,medium,4,1.62,sedentary,vegetarian,foodies,unmarried,has_vehicle,karen72@example.com,637.350.6465x333
71,72,Christina Johnson,31,male,low,3,7.05,active,non-vegetarian,foodies,married,has_vehicle,rebecca87@example.com,001-293-299-3308x00795
72,73,Emily Scott,29,male,medium,4,1.66,active,vegetarian,foodies,unmarried,does_not_have_vehicle,ashleynichols@example.net,001-903-846-0718x118
73,74,William Martinez,29,male,high,3,3.6,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,ugeorge@example.net,7147423273
74,75,Jamie Hernandez,36,female,low,1,1.73,active,vegetarian,foodies,married,has_vehicle,kellyboyd@example.org,749-444-5038x158
75,76,Matthew Salas,13,male,high,7,3.13,active,vegetarian,gourmet_and_baking_enthusiast,unmarried,has_vehicle,torreskimberly@example.net,256-975-2642
76,77,Andrew Cox,20,male,medium,5,0.61,sedentary,gluten-free,foodies,married,has_vehicle,baldwinbetty@example.com,408.986.2267x733
77,78,Paul Hood,28,male,medium,4,3.12,sedentary,vegetarian,celebratory_cakes,married,has_vehicle,leewilliam@example.net,798.705.5837x584
78,79,Ashley Castro,31,female,low,6,1.99,active,vegan,celebratory_cakes,unmarried,does_not_have_vehicle,jenningsmary@example.net,+1-669-908-2638x26348
79,80,Dale Cox,12,male,high,1,1.97,sedentary,vegan,celebratory_cakes,married,has_vehicle,julie68@example.com,+1-483-824-7805x198
80,81,Ethan Rollins,36,male,low,2,4.36,active,vegetarian,foodies,unmarried,has_vehicle,williamdavis@example.com,983.638.7295
81,82,Jeanne Long,14,other,low,5,0.76,active,vegan,celebratory_cakes,unmarried,does_not_have_vehicle,heather86@example.org,276.959.9094x270
82,83,Edward Cruz,28,male,medium,1,0.18,active,vegan,celebratory_cakes,married,has_vehicle,ricemichael@example.net,001-520-372-3066
83,84,Anna Clark,28,female,medium,5,7.37,sedentary,gluten-free,socializing,married,has_vehicle,gallegoselizabeth@example.org,+1-367-216-6089
84,85,Stephanie Gates,16,male,medium,4,1.54,health_conscious,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,lfrey@example.org,358-757-6393
85,86,Jacob Hamilton,31,female,high,2,2.21,health_conscious,vegan,celebratory_cakes,unmarried,has_vehicle,erica23@example.org,628.466.7837
86,87,Sandra Rogers,18,female,high,5,0.97,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,mccarthyomar@example.com,317-808-7866x00537
87,88,Mrs. Allison Butler,39,male,low,5,1.15,active,non-vegetarian,socializing,married,has_vehicle,cherylmorrison@example.net,+1-529-436-1591x45055
88,89,David Nelson,19,female,medium,1,3.87,active,vegan,celebratory_cakes,unmarried,has_vehicle,vlowe@example.net,(321)942-9881x80928
89,90,Sarah Thomas,30,female,low,5,2.05,sedentary,non-vegetarian,celebratory_cakes,married,does_not_have_vehicle,operez@example.net,746-494-8906x754
90,91,Bailey Tate,26,male,high,2,1.82,health_conscious,vegan,celebratory_cakes,unmarried,has_vehicle,fowlergary@example.org,305-848-8742
91,92,Tricia May,13,female,low,5,2.55,active,vegetarian,health_and_nutrition,unmarried,does_not_have_vehicle,amandabrowning@example.net,001-463-320-2613x5629
92,93,Ashley Rivas,31,male,low,2,0.2,active,vegetarian,foodies,unmarried,does_not_have_vehicle,wilsonkendra@example.com,(470)405-0365x4013
93,94,Michael Smith,24,male,low,4,5.82,sedentary,non-vegetarian,socializing,unmarried,has_vehicle,johnsonthomas@example.com,9037530529
94,95,Michael Taylor,64,other,medium,2,0.19,active,vegan,celebratory_cakes,married,does_not_have_vehicle,wallsderek@example.com,456.443.7198x971
95,96,Denise Garcia,19,female,high,3,3.44,active,vegan,celebratory_cakes,unmarried,has_vehicle,tdudley@example.org,3814653317
96,97,Carlos Carpenter,56,male,low,2,0.09,active,vegetarian,socializing,married,has_vehicle,figueroajeffrey@example.org,839-243-5574
97,98,Jennifer Mullins,15,female,medium,2,0.52,active,non-vegetarian,socializing,unmarried,has_vehicle,gparrish@example.com,+1-766-901-2066x840
98,99,Amy Gonzalez,15,male,high,2,0.74,sedentary,non-vegetarian,foodies,unmarried,has_vehicle,john69@example.org,335.712.9062x2555
99,100,Andrea Schmitt,19,female,medium,4,1.8,active,vegetarian,foodies,unmarried,has_vehicle,david88@example.net,001-658-282-1544x05596
100,101,Melissa Jones,22,female,medium,3,1.51,sedentary,non-vegetarian,gourmet_and_baking_enthusiast,unmarried,has_vehicle,phillipsstephen@example.org,859-742-2481x244
101,102,James Lang,22,male,low,4,5.39,active,vegan,socializing,married,has_vehicle,hatkinson@example.org,9468621166
102,103,Sonya Sims,27,female,medium,3,0.04,active,non-vegetarian,celebratory_cakes,unmarried,does_not_have_vehicle,michaelramsey@example.org,(820)396-4430x2695
103,104,Loretta Green,16,male,medium,4,3.59,health_conscious,vegetarian,foodies,unmarried,has_vehicle,peggy12@example.net,901-784-0011x9134
104,105,Andrea Fischer,23,male,medium,1,1.68,health_conscious,vegetarian,celebratory_cakes,unmarried,has_vehicle,mbeasley@example.org,001-648-993-5186x520
105,106,Denise Cortez,21,male,high,5,0.99,active,vegetarian,socializing,married,has_vehicle,martinezwilliam@example.org,001-534-999-2458x500
106,107,Anthony Gibson,29,female,medium,2,0.76,active,vegetarian,gourmet_and_baking_enthusiast,unmarried,has_vehicle,dgriffin@example.com,+1-922-488-3144x09427
107,108,Christopher Berry,26,female,medium,3,3.53,sedentary,vegan,foodies,married,has_vehicle,hjackson@example.net,(201)282-7350
108,109,George Harris,39,male,low,0,0.96,active,non-vegetarian,foodies,married,has_vehicle,mgrant@example.org,(946)671-0032x14265
109,110,Jonathan Rios,23,female,low,3,4.45,active,vegan,socializing,unmarried,has_vehicle,wallen@example.com,298.466.9498x88145
110,111,William Lloyd,16,male,medium,4,1.63,active,vegetarian,gourmet_and_baking_enthusiast,unmarried,has_vehicle,singhamy@example.com,001-715-725-7758x872
111,112,Sara Meza,24,male,low,5,4.6,sedentary,vegan,health_and_nutrition,married,has_vehicle,hayesolivia@example.net,(462)955-0475x366
112,113,Sarah Park,20,female,medium,4,0.42,sedentary,vegan,socializing,unmarried,has_vehicle,steven02@example.com,5903425648
113,114,Samantha Martin,38,female,medium,2,3.53,sedentary,non-vegetarian,foodies,unmarried,has_vehicle,lhahn@example.com,5786627147
114,115,Bill Martin,20,female,high,3,4.18,active,vegetarian,foodies,unmarried,does_not_have_vehicle,thomas16@example.org,001-596-206-4117x19563
115,116,William Moore,28,female,medium,5,4.69,active,vegetarian,socializing,married,has_vehicle,jacobweaver@example.net,8049240976
116,117,Tracy Wilson,41,female,high,7,2.01,active,vegetarian,foodies,married,has_vehicle,timothyharrison@example.com,720-668-8206
117,118,Bobby Moore,38,female,low,4,0.88,health_conscious,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,ashleysanchez@example.com,712.442.8151x27206
118,119,Kelly Long,24,male,medium,3,6.11,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,dominguezanthony@example.net,(395)341-1677x71037
119,120,Lauren Hernandez,28,other,medium,5,0.15,active,vegetarian,celebratory_cakes,unmarried,does_not_have_vehicle,middletonamanda@example.net,247-247-8677x5050
120,121,Patricia Avery,14,male,medium,5,3.81,active,vegan,socializing,unmarried,does_not_have_vehicle,alfreddavis@example.org,(672)394-8720
121,122,Christopher Williams,40,female,low,2,1.79,active,non-vegetarian,celebratory_cakes,unmarried,does_not_have_vehicle,sandradavis@example.net,001-927-376-2400x26844
122,123,James Campbell,47,female,high,4,2.68,sedentary,vegan,celebratory_cakes,married,has_vehicle,yramirez@example.com,267-954-7168
123,124,Victoria Lucas,13,male,low,5,0.28,active,vegetarian,socializing,unmarried,does_not_have_vehicle,rachel10@example.com,529.574.4783x509
124,125,Sharon Meyer,11,male,medium,6,5.59,sedentary,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,joseph29@example.com,(435)649-3540
125,126,Jennifer Gilmore,19,male,medium,3,1.35,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,wboyd@example.com,702.963.7252
126,127,Veronica Rivers,25,female,low,1,0.83,health_conscious,vegetarian,foodies,unmarried,has_vehicle,deanmiller@example.net,001-913-937-8607x72678
127,128,Eric Mueller,12,male,high,5,0.04,sedentary,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,claydaniel@example.com,373-263-9298
128,129,Steven Chan,31,male,low,1,5.07,active,vegetarian,socializing,unmarried,has_vehicle,bergerkellie@example.org,9343006149
129,130,Jennifer Underwood,14,female,low,2,0.61,sedentary,vegan,socializing,unmarried,does_not_have_vehicle,marie17@example.org,231.273.4434
130,131,Joseph Brown,32,male,low,3,3.42,active,vegan,celebratory_cakes,unmarried,has_vehicle,jessedouglas@example.com,725.871.4243
131,132,Nathan Kim,14,male,high,3,2.03,active,vegan,gourmet_and_baking_enthusiast,married,does_not_have_vehicle,louisclark@example.net,001-855-827-1720x3032
132,133,Jorge Carter,30,female,medium,4,5.77,sedentary,non-vegetarian,celebratory_cakes,married,has_vehicle,epowers@example.org,3174817242
133,134,Gwendolyn Brown,42,female,medium,4,0.38,active,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,lisafoster@example.net,(850)699-7586x268
134,135,Deborah Campbell,15,female,low,6,1.93,sedentary,vegan,foodies,married,has_vehicle,pgomez@example.net,001-885-765-5151
135,136,Brian Fernandez,34,female,low,9,4.92,sedentary,vegetarian,foodies,unmarried,does_not_have_vehicle,mpittman@example.net,(878)530-8726x705
136,137,Gregory Torres,20,female,medium,4,3.43,health_conscious,non-vegetarian,socializing,married,has_vehicle,gregorygomez@example.com,+1-671-924-3644x3461
137,138,Bradley Robinson,14,female,medium,3,1.06,active,gluten-free,socializing,unmarried,has_vehicle,dmoody@example.net,511-490-2370x8259
138,139,Katie Stephenson,18,female,medium,1,1.97,active,non-vegetarian,celebratory_cakes,married,has_vehicle,phillip25@example.com,816-647-1027
139,140,Lindsey Jones,13,female,low,5,0.52,active,non-vegetarian,foodies,unmarried,has_vehicle,samanthadiaz@example.org,(924)677-2510
140,141,Ryan Smith,40,male,medium,3,0.28,active,vegetarian,health_and_nutrition,unmarried,has_vehicle,deborahalexander@example.org,501-843-4255
141,142,Kaitlin Allen,27,female,medium,2,1.82,health_conscious,non-vegetarian,socializing,unmarried,does_not_have_vehicle,shanethomas@example.net,343.847.6321
142,143,Alan Jones,32,female,medium,0,3.77,health_conscious,vegetarian,foodies,unmarried,has_vehicle,nataliemcintyre@example.net,(920)524-9518x7843
143,144,Daniel Church,19,male,high,2,0.04,sedentary,vegetarian,celebratory_cakes,unmarried,does_not_have_vehicle,kenneth15@example.org,001-681-979-5595x082
144,145,Jose Mitchell,22,female,medium,3,5.3,health_conscious,non-vegetarian,foodies,unmarried,has_vehicle,jessicabrown@example.net,+1-519-854-0275x5027
145,146,Melissa Myers,20,female,low,0,1.64,health_conscious,vegetarian,celebratory_cakes,unmarried,has_vehicle,berrybrian@example.org,001-602-579-2310x70746
146,147,Lauren Scott,31,female,low,5,4.07,active,non-vegetarian,socializing,unmarried,has_vehicle,greenmichelle@example.net,2844283004
147,148,Tonya Thompson,19,male,medium,1,2.46,active,non-vegetarian,socializing,unmarried,has_vehicle,matthewsjames@example.com,001-937-420-2660x0333
148,149,Pamela Ramirez,24,female,low,6,0.32,sedentary,non-vegetarian,health_and_nutrition,married,has_vehicle,danbryan@example.org,001-964-597-7671x4477
149,150,Kurt Holmes,18,other,low,3,2.75,sedentary,vegetarian,gourmet_and_baking_enthusiast,married,has_vehicle,qyoung@example.org,344.579.1040
150,151,Joseph Torres,18,male,medium,0,0.08,active,vegan,health_and_nutrition,unmarried,has_vehicle,christopher82@example.com,5292736052
151,152,Joseph Oneal,29,female,high,2,0.51,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,keithjill@example.com,451-768-8296x380
152,153,Hannah Lamb,19,female,medium,2,1.88,active,vegan,celebratory_cakes,unmarried,has_vehicle,spencergary@example.net,001-273-986-9783x6769
153,154,Ms. Brandy Shepherd,21,female,medium,2,1.01,active,vegan,health_and_nutrition,unmarried,has_vehicle,ocruz@example.org,+1-920-263-9590x6861
154,155,Christopher Carey,22,male,medium,1,0.19,sedentary,vegetarian,socializing,unmarried,does_not_have_vehicle,angela44@example.net,864-370-8869
155,156,Michael Gibson,12,female,medium,5,1.2,sedentary,vegetarian,foodies,unmarried,has_vehicle,millerjoshua@example.net,(945)504-5978
156,157,John Ramos,26,male,high,1,1.63,sedentary,non-vegetarian,health_and_nutrition,unmarried,has_vehicle,joseph05@example.com,001-529-298-4623
157,158,Leroy Bailey,26,male,medium,5,4.8,active,non-vegetarian,socializing,married,has_vehicle,claytonroger@example.org,+1-604-546-5018x22134
158,159,Roy Peck,24,male,high,2,2.2,sedentary,non-vegetarian,celebratory_cakes,married,has_vehicle,kleinjimmy@example.net,+1-480-228-2958
159,160,Sandra Randall,40,female,medium,3,12.21,active,vegetarian,foodies,unmarried,does_not_have_vehicle,dstewart@example.net,+1-355-886-5953
160,161,Heather Valentine,27,female,high,4,0.73,active,non-vegetarian,socializing,married,does_not_have_vehicle,david50@example.com,7078415222
161,162,Michael Vargas,19,female,medium,5,1.86,active,vegan,socializing,married,does_not_have_vehicle,ihernandez@example.org,476.765.9381
162,163,Justin Martin,30,female,high,3,0.36,sedentary,vegan,celebratory_cakes,married,has_vehicle,ihernandez@example.org,+1-463-596-1350x9445
163,164,Michael Moreno,22,female,medium,4,1.49,sedentary,vegetarian,foodies,unmarried,has_vehicle,graykenneth@example.org,+1-270-813-2048x9994
164,165,David Mitchell,37,male,high,3,1.9,health_conscious,gluten-free,celebratory_cakes,unmarried,has_vehicle,mcollins@example.com,227-248-6540
165,166,Maria Oliver,35,male,medium,3,0.73,sedentary,non-vegetarian,socializing,unmarried,has_vehicle,ericksonelaine@example.org,001-446-749-8632x589
166,167,Rebecca Davis,36,male,medium,6,1.52,active,vegetarian,foodies,married,has_vehicle,thomasdouglas@example.net,001-426-638-1416
167,168,Megan Robles,10,female,medium,3,0.12,sedentary,vegetarian,foodies,married,has_vehicle,robertsonjohn@example.net,(381)396-0395x5817
168,169,John Davis,26,male,low,6,1.04,sedentary,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,molly66@example.com,337-393-1276x23062
169,170,Todd Bray,30,female,medium,5,8.27,sedentary,gluten-free,socializing,married,does_not_have_vehicle,glennmitchell@example.com,+1-387-999-4842x22732
170,171,Jacob Baker,37,other,medium,4,1.43,health_conscious,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,egraham@example.org,(568)850-2196x395
171,172,Ryan Rodriguez,27,female,high,7,2.21,health_conscious,non-vegetarian,foodies,unmarried,does_not_have_vehicle,teresahendrix@example.net,540.745.5315x75993
172,173,Christian Sawyer,40,female,medium,1,0.24,health_conscious,non-vegetarian,foodies,unmarried,has_vehicle,wweaver@example.net,(552)405-4039
173,174,James Shannon,32,female,high,9,2.42,health_conscious,non-vegetarian,celebratory_cakes,unmarried,has_vehicle,qbrown@example.net,356-987-1371
174,175,Shelby Baker,35,male,medium,4,0.38,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,william89@example.com,5387274935
175,176,Alyssa Turner,13,female,medium,5,0.16,active,vegetarian,foodies,unmarried,has_vehicle,qfernandez@example.org,+1-864-497-0087x6872
176,177,Richard Miranda,27,female,low,3,2.76,health_conscious,vegetarian,foodies,unmarried,has_vehicle,gerald07@example.net,+1-670-797-4123x674
177,178,Sarah Taylor,32,other,low,5,3.92,sedentary,gluten-free,foodies,unmarried,has_vehicle,turnerdennis@example.com,762.404.1366x563
178,179,Suzanne Robinson,25,female,medium,3,0.43,active,vegetarian,socializing,unmarried,has_vehicle,kayla82@example.com,439.324.7964x803
179,180,Joseph Frank,27,female,medium,7,3.38,active,vegetarian,celebratory_cakes,married,has_vehicle,suzannesanchez@example.com,001-525-694-9498x30689
180,181,Johnathan Harris,28,male,medium,7,1.1,active,vegetarian,celebratory_cakes,married,has_vehicle,ycortez@example.com,001-656-477-3373
181,182,Kelly Hutchinson,12,female,medium,3,12.04,active,vegan,foodies,unmarried,does_not_have_vehicle,stricklandwilliam@example.org,999-955-3528x9511
182,183,Brittany Spears,13,male,medium,2,3.17,sedentary,vegan,gourmet_and_baking_enthusiast,unmarried,has_vehicle,william54@example.com,001-446-997-3393x8851
183,184,Benjamin Hill,28,male,medium,4,4.69,active,vegan,celebratory_cakes,unmarried,has_vehicle,laura35@example.com,+1-937-560-2378x05787
184,185,Carrie Rojas,18,male,medium,5,1.9,active,non-vegetarian,celebratory_cakes,married,has_vehicle,jordan64@example.org,493.375.2322x86916
185,186,Elizabeth Delgado,41,male,low,4,0.69,active,non-vegetarian,foodies,married,does_not_have_vehicle,theresanorman@example.net,(366)590-2689
186,187,Scott Larsen,51,female,low,7,0.35,active,vegetarian,socializing,unmarried,has_vehicle,petersonzachary@example.net,6842883327
187,188,Nancy Hughes,34,male,low,5,0.83,health_conscious,vegetarian,health_and_nutrition,unmarried,has_vehicle,tannerjennifer@example.com,817.766.7681
188,189,Keith Wilson,21,male,high,7,3.45,active,vegetarian,socializing,married,does_not_have_vehicle,theresasalazar@example.org,922-321-2903
189,190,Brian Merritt,41,female,high,1,0.73,active,vegetarian,celebratory_cakes,unmarried,has_vehicle,reidcorey@example.net,867.809.4452x1590
190,191,Karina Graham,19,male,high,5,1.07,active,vegan,foodies,married,does_not_have_vehicle,john35@example.com,9356299610
